User ID,Vehicle Model,Charging Station Location,Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,Houston,2,DC Fast Charger,Commuter
User_2,Hyundai Kona,San Francisco,3,Level 1,Casual Driver
User_3,Chevy Bolt,San Francisco,2,Level 2,Commuter
User_4,Hyundai Kona,Houston,1,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,Los Angeles,1,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,Houston,4,Level 2,Commuter
User_8,Chevy Bolt,Los Angeles,0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,Los Angeles,4,Level 1,Commuter
User_10,Hyundai Kona,Chicago,2.830381307,DC Fast Charger,Commuter
User_11,BMW i3,Los Angeles,3,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,San Francisco,0,Level 2,Casual Driver
User_14,Nissan Leaf,Houston,7,Level 2,Commuter
User_15,BMW i3,Houston,4,Level 1,Casual Driver
User_16,Nissan Leaf,Los Angeles,1.535234088,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,New York,7,DC Fast Charger,Commuter
User_18,Hyundai Kona,Chicago,6,Level 2,Casual Driver
User_19,Tesla Model 3,New York,0,Level 1,Long-Distance Traveler
User_20,BMW i3,Los Angeles,3,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,Los Angeles,3,Level 2,Casual Driver
User_22,Hyundai Kona,New York,5,Level 1,Commuter
User_23,BMW i3,Chicago,4.257936703,DC Fast Charger,Long-Distance Traveler
User_24,Tesla Model 3,New York,5,DC Fast Charger,Commuter
User_25,Tesla Model 3,Houston,4,Level 1,Long-Distance Traveler
User_26,Chevy Bolt,San Francisco,1,DC Fast Charger,Commuter
User_27,Chevy Bolt,Houston,0.361215166,Level 1,Commuter
User_28,Nissan Leaf,San Francisco,0,Level 1,Long-Distance Traveler
User_29,BMW i3,Los Angeles,3,Level 2,Casual Driver
User_30,BMW i3,Chicago,0,DC Fast Charger,Casual Driver
User_31,Chevy Bolt,New York,2,DC Fast Charger,Casual Driver
User_32,BMW i3,Chicago,6,Level 1,Commuter
User_33,BMW i3,New York,1,Level 2,Casual Driver
User_34,Tesla Model 3,Houston,1,Level 2,Casual Driver
User_35,Chevy Bolt,Houston,1.809172868,DC Fast Charger,Long-Distance Traveler
User_36,Hyundai Kona,New York,4,Level 1,Commuter
User_37,Chevy Bolt,Chicago,1,DC Fast Charger,Casual Driver
User_38,Hyundai Kona,New York,6,DC Fast Charger,Long-Distance Traveler
User_39,Tesla Model 3,Los Angeles,7,Level 2,Commuter
User_40,Nissan Leaf,Houston,2,Level 2,Long-Distance Traveler
User_41,BMW i3,Los Angeles,1.969232722,Level 2,Casual Driver
