user_id,vehicle_model,battery_capacity,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed,charging_duration,charging_rate,charging_cost,time_of_day,day_of_week,soc_start,soc_end,distance_driven,temperature,vehicle_age,charger_type,user_type
User_17,BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,Evening,Thursday,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7,DC Fast Charger,Commuter
User_38,Hyundai Kona,75.0,Station_97,New York,2024-01-02 13:00:00,2024-01-02 13:43:00,73.38661952275571,1.0404523051899732,38.45083190087793,15.882703983823514,Night,Wednesday,49.27538752823665,94.59708190417813,42.09574394400221,33.92957037271362,6,DC Fast Charger,Long-Distance Traveler
User_59,BMW i3,100.0,Station_55,Chicago,2024-01-03 10:00:00,2024-01-03 12:59:00,21.89299267514347,1.285283896923329,25.37395430520664,8.637821690612405,Morning,Saturday,80.22553380560572,64.66736188293022,148.41561166314776,5.073167724155329,7,DC Fast Charger,Casual Driver
User_62,BMW i3,75.0,Station_336,Chicago,2024-01-03 13:00:00,2024-01-03 15:00:00,62.723162291274086,2.117893349954352,30.9970269340748,30.04444235282833,Morning,Monday,82.84418006572773,72.83328568716698,282.9423217735824,32.852732623649764,7,DC Fast Charger,Casual Driver
User_68,Nissan Leaf,85.0,Station_413,Los Angeles,2024-01-03 19:00:00,2024-01-03 21:30:00,67.69516175123809,0.8575824648349768,32.97506874142168,13.775619212920864,Afternoon,Saturday,22.48839981099202,86.77766611416524,81.28450037675881,-7.332648303750763,6,DC Fast Charger,Casual Driver
User_93,Chevy Bolt,85.0,Station_224,Houston,2024-01-04 20:00:00,2024-01-04 23:34:00,65.431016913359,0.929486553755634,20.27269893513049,10.395657972388529,Night,Sunday,76.46681163744769,75.84995702645678,71.43600424010651,30.199709557192065,6,DC Fast Charger,Long-Distance Traveler
User_95,Tesla Model 3,85.0,Station_103,San Francisco,2024-01-04 22:00:00,2024-01-05 01:51:00,7.930901450146639,2.3423957855284567,44.12212998806049,33.81843011264206,Evening,Tuesday,42.73907176379696,72.96602310099009,55.67750505100865,16.808358267905795,7,DC Fast Charger,Casual Driver
User_98,Nissan Leaf,85.0,Station_90,Los Angeles,2024-01-05 01:00:00,2024-01-05 03:33:00,31.046574961450595,0.6902816245406431,28.004859152178906,6.254545331359625,Night,Saturday,47.1578609567738,66.19348839519058,,15.627395920888151,7,DC Fast Charger,Casual Driver
User_100,Tesla Model 3,100.0,Station_158,New York,2024-01-05 03:00:00,2024-01-05 05:09:00,50.90348235510272,3.6213171012978576,,28.33888703339029,Night,Sunday,54.44920445667424,60.55781887703402,10.441929226166076,30.044882883320888,7,DC Fast Charger,Commuter
User_106,Hyundai Kona,62.0,Station_97,San Francisco,2024-01-05 09:00:00,2024-01-05 12:35:00,41.264155052372864,3.6044547433316194,29.081690927779928,29.01626914537352,Night,Sunday,64.41936676135445,73.23718921497326,268.51527775257875,19.63653156666094,6,DC Fast Charger,Long-Distance Traveler
User_107,Chevy Bolt,85.0,Station_74,Chicago,2024-01-05 10:00:00,2024-01-05 11:06:00,6.503953233800639,1.487800086413389,35.93476782027548,35.24185936463465,Afternoon,Wednesday,67.51829977415198,57.34995235816769,204.7682813822981,35.95974294747681,6,DC Fast Charger,Long-Distance Traveler
User_117,Nissan Leaf,85.0,Station_41,Los Angeles,2024-01-05 20:00:00,2024-01-05 21:48:00,17.933479173039434,2.7822095659811867,25.58416841581989,25.49744244234459,Morning,Saturday,29.951321951186408,76.87588684727461,104.39786671394216,38.36358111720883,7,DC Fast Charger,Commuter
User_119,Tesla Model 3,50.0,Station_15,Chicago,2024-01-05 22:00:00,2024-01-06 01:49:00,17.704737472368393,3.462571540834156,19.713679937800947,19.91512428981757,Afternoon,Tuesday,47.80623479100282,79.3715143442941,258.64567065665085,-9.34537521505764,7,DC Fast Charger,Commuter
User_133,BMW i3,50.0,Station_199,Houston,2024-01-06 12:00:00,2024-01-06 12:41:00,65.48719595789339,2.0662813799021897,37.57728956063927,31.14502051485556,Evening,Thursday,42.8353512271293,83.70937054043276,102.23907267794996,17.522727671566376,6,DC Fast Charger,Long-Distance Traveler
User_135,Chevy Bolt,48.46959856054178,Station_271,Los Angeles,2024-01-06 14:00:00,2024-01-06 15:08:00,47.29002739188249,3.294730867342969,15.408979759429108,46.27027201372587,Morning,Wednesday,28.20501289429486,50.64036663152135,277.49342012825457,7.122847043805255,7,DC Fast Charger,Long-Distance Traveler
